,kVp_kV,InherentFiltration_mmAl,AddedFiltration_mmCu,AddedFiltration_mmAl,AddedFiltration_mmAir,DeviceModel,AcquisitionPlane,AnodeAngle_deg,HVL_mmAl,LabName,MeasurementDate
222,52.0,3.1,0.4,1,750,Allura Clarity,Plane B,11,4.490486708682437,U104,20180412
223,52.0,3.1,0.9,1,750,Allura Clarity,Plane B,11,5.412607585789445,U104,20180412
224,53.0,3.1,0.0,0,750,Allura Clarity,Plane B,11,2.098674933608406,U104,20180412
225,53.0,3.1,0.1,0,750,Allura Clarity,Plane B,11,3.0664580570344406,U104,20180412
226,53.0,3.1,0.4,0,750,Allura Clarity,Plane B,11,4.51645523470724,U104,20180412
227,53.0,3.1,0.9,0,750,Allura Clarity,Plane B,11,5.517798850044827,U104,20180412
228,53.0,3.1,0.0,1,750,Allura Clarity,Plane B,11,2.4299605082821465,U104,20180412
229,53.0,3.1,0.1,1,750,Allura Clarity,Plane B,11,3.270985613195666,U104,20180412
230,53.0,3.1,0.4,1,750,Allura Clarity,Plane B,11,4.59885108001817,U104,20180412
231,53.0,3.1,0.9,1,750,Allura Clarity,Plane B,11,5.552386580023209,U104,20180412
232,54.0,3.1,0.0,0,750,Allura Clarity,Plane B,11,2.1377129178394094,U104,20180412
233,54.0,3.1,0.1,0,750,Allura Clarity,Plane B,11,3.1295159851290157,U104,20180412
234,54.0,3.1,0.4,0,750,Allura Clarity,Plane B,11,4.620987001913668,U104,20180412
235,54.0,3.1,0.9,0,750,Allura Clarity,Plane B,11,5.6545757500235965,U104,20180412
236,54.0,3.1,0.0,1,750,Allura Clarity,Plane B,11,2.4764440952663436,U104,20180412
237,54.0,3.1,0.1,1,750,Allura Clarity,Plane B,11,3.3392803629424415,U104,20180412
238,54.0,3.1,0.4,1,750,Allura Clarity,Plane B,11,4.70582187500804,U104,20180412
239,54.0,3.1,0.9,1,750,Allura Clarity,Plane B,11,5.690308627831608,U104,20180412
240,55.0,3.1,0.0,0,750,Allura Clarity,Plane B,11,2.176444160815366,U104,20180412
241,55.0,3.1,0.1,0,750,Allura Clarity,Plane B,11,3.191922322535413,U104,20180412
242,55.0,3.1,0.4,0,750,Allura Clarity,Plane B,11,4.724216665855376,U104,20180412
243,55.0,3.1,0.9,0,750,Allura Clarity,Plane B,11,5.7895834096335745,U104,20180412
244,55.0,3.1,0.0,1,750,Allura Clarity,Plane B,11,2.52250992251005,U104,20180412
245,55.0,3.1,0.1,1,750,Allura Clarity,Plane B,11,3.406839730594589,U104,20180412
246,55.0,3.1,0.4,1,750,Allura Clarity,Plane B,11,4.811451910279796,U104,20180412
247,55.0,3.1,0.9,1,750,Allura Clarity,Plane B,11,5.826449037468733,U104,20180412
248,56.0,3.1,0.0,0,750,Allura Clarity,Plane B,11,2.214891490761887,U104,20180412
249,56.0,3.1,0.1,0,750,Allura Clarity,Plane B,11,3.25370648414133,U104,20180412
250,56.0,3.1,0.4,0,750,Allura Clarity,Plane B,11,4.826153706267935,U104,20180412
251,56.0,3.1,0.9,0,750,Allura Clarity,Plane B,11,5.922760871847035,U104,20180412
252,56.0,3.1,0.0,1,750,Allura Clarity,Plane B,11,2.5681851377243414,U104,20180412
253,56.0,3.1,0.1,1,750,Allura Clarity,Plane B,11,3.4736934541391467,U104,20180412
254,56.0,3.1,0.4,1,750,Allura Clarity,Plane B,11,4.915748577743443,U104,20180412
255,56.0,3.1,0.9,1,750,Allura Clarity,Plane B,11,5.960743099105954,U104,20180412
256,57.0,3.1,0.0,0,750,Allura Clarity,Plane B,11,2.2530671084293,U104,20180412
257,57.0,3.1,0.1,0,750,Allura Clarity,Plane B,11,3.314873855440432,U104,20180412
258,57.0,3.1,0.4,0,750,Allura Clarity,Plane B,11,4.926757005452454,U104,20180412
259,57.0,3.1,0.9,0,750,Allura Clarity,Plane B,11,6.053933197038007,U104,20180412
260,57.0,3.1,0.0,1,750,Allura Clarity,Plane B,11,2.6134807493501966,U104,20180412
261,57.0,3.1,0.1,1,750,Allura Clarity,Plane B,11,3.5398440762660344,U104,20180412
262,57.0,3.1,0.4,1,750,Allura Clarity,Plane B,11,5.018664190302188,U104,20180412
