kVp_kV,InherentFiltration_mmAl,AddedFiltration_mmCu,AddedFiltration_mmAl,AddedFiltration_mmAir,DeviceModel,AcquisitionPlane,AnodeAngle_deg,HVL_mmAl,h,comment
79,4.1,0.3,0,770,AXIOM-Artis,Single Plane,8,6.6,0.883,Inherent filtration measured in lab 106 - 2018-03-28
79,4.1,0.6,0,770,AXIOM-Artis,Single Plane,8,7.9,0.932,Inherent filtration measured in lab 106 - 2018-03-28
79,4.1,0.9,0,770,AXIOM-Artis,Single Plane,8,8.66,0.955,Inherent filtration measured in lab 106 - 2018-03-28
80,4.1,0,0,770,AXIOM-Artis,Single Plane,8,3.71,0.729,Inherent filtration measured in lab 106 - 2018-03-28
80,4.1,0.1,0,770,AXIOM-Artis,Single Plane,8,5.05,0.806,Inherent filtration measured in lab 106 - 2018-03-28
80,4.1,0.2,0,770,AXIOM-Artis,Single Plane,8,5.99,0.852,Inherent filtration measured in lab 106 - 2018-03-28
80,4.1,0.3,0,770,AXIOM-Artis,Single Plane,8,6.68,0.883,Inherent filtration measured in lab 106 - 2018-03-28
80,4.1,0.6,0,770,AXIOM-Artis,Single Plane,8,7.99,0.932,Inherent filtration measured in lab 106 - 2018-03-28
80,4.1,0.9,0,770,AXIOM-Artis,Single Plane,8,8.75,0.955,Inherent filtration measured in lab 106 - 2018-03-28
81,4.1,0,0,770,AXIOM-Artis,Single Plane,8,3.76,0.728,Inherent filtration measured in lab 106 - 2018-03-28
81,4.1,0.1,0,770,AXIOM-Artis,Single Plane,8,5.12,0.805,Inherent filtration measured in lab 106 - 2018-03-28
81,4.1,0.2,0,770,AXIOM-Artis,Single Plane,8,6.06,0.851,Inherent filtration measured in lab 106 - 2018-03-28
81,4.1,0.3,0,770,AXIOM-Artis,Single Plane,8,6.76,0.882,Inherent filtration measured in lab 106 - 2018-03-28
81,4.1,0.6,0,770,AXIOM-Artis,Single Plane,8,8.08,0.932,Inherent filtration measured in lab 106 - 2018-03-28
81,4.1,0.9,0,770,AXIOM-Artis,Single Plane,8,8.84,0.955,Inherent filtration measured in lab 106 - 2018-03-28
82,4.1,0,0,770,AXIOM-Artis,Single Plane,8,3.81,0.726,Inherent filtration measured in lab 106 - 2018-03-28
82,4.1,0.1,0,770,AXIOM-Artis,Single Plane,8,5.18,0.804,Inherent filtration measured in lab 106 - 2018-03-28
82,4.1,0.2,0,770,AXIOM-Artis,Single Plane,8,6.13,0.851,Inherent filtration measured in lab 106 - 2018-03-28
82,4.1,0.3,0,770,AXIOM-Artis,Single Plane,8,6.83,0.882,Inherent filtration measured in lab 106 - 2018-03-28
82,4.1,0.6,0,770,AXIOM-Artis,Single Plane,8,8.16,0.932,Inherent filtration measured in lab 106 - 2018-03-28
82,4.1,0.9,0,770,AXIOM-Artis,Single Plane,8,8.93,0.955,Inherent filtration measured in lab 106 - 2018-03-28
83,4.1,0,0,770,AXIOM-Artis,Single Plane,8,3.86,0.725,Inherent filtration measured in lab 106 - 2018-03-28
83,4.1,0.1,0,770,AXIOM-Artis,Single Plane,8,5.25,0.803,Inherent filtration measured in lab 106 - 2018-03-28
83,4.1,0.2,0,770,AXIOM-Artis,Single Plane,8,6.21,0.85,Inherent filtration measured in lab 106 - 2018-03-28
83,4.1,0.3,0,770,AXIOM-Artis,Single Plane,8,6.91,0.882,Inherent filtration measured in lab 106 - 2018-03-28
