kVp_kV,HVL_mmAl,UdivRho,FieldSize_cm
120,8.27,1.044,35
120,8.73,1.046,35
120,8.85,1.046,35
120,10.34,1.053,35
120,11.17,1.058,35
120,11.21,1.058,35
130,4.71,1.033,35
130,5.21,1.034,35
130,5.91,1.036,35
130,6.49,1.038,35
130,7.24,1.041,35
130,7.63,1.042,35
130,8.46,1.046,35
130,8.72,1.047,35
130,9.18,1.049,35
130,9.3,1.049,35
130,10.79,1.057,35
130,11.62,1.061,35
130,11.66,1.061,35
140,5.11,1.035,35
140,5.62,1.037,35
140,6.34,1.039,35
140,6.92,1.041,35
140,7.67,1.044,35
140,8.07,1.045,35
140,8.89,1.048,35
140,9.14,1.049,35
140,9.59,1.051,35
140,9.71,1.052,35
140,11.2,1.059,35
140,12.04,1.064,35
140,12.09,1.064,35
150,5.52,1.038,35
150,6.04,1.039,35
150,6.75,1.041,35
150,7.34,1.043,35
150,8.09,1.046,35
150,8.48,1.048,35
150,9.29,1.051,35
150,9.54,1.052,35
150,9.98,1.054,35
150,10.1,1.055,35
150,11.58,1.062,35
150,12.44,1.067,35
150,12.48,1.067,35
