kvp_kV,inherent_filtration_mmAl,added_filtration_mmCu,hvl_mmAl,h,field_side_length_cm,backscatter,mu_en_quotient
150,4.1,0,6.75,0.72,20,1.490,1.042
150,5.1,0,7.34,0.75,20,1.503,1.044
150,3.1,0.1,8.09,5.33,20,1.517,1.047
150,4.1,0.1,8.48,0.81,20,1.523,1.048
150,3.1,0.2,9.29,6.06,20,1.532,1.052
150,4.1,0.2,9.54,0.86,20,1.534,1.053
150,2.5,0.3,9.98,0.87,20,1.537,1.055
150,3.1,0.3,10.10,6.57,20,1.537,1.056
150,3.1,0.6,11.58,7.55,20,1.534,1.063
150,2.5,0.9,12.44,0.94,20,1.523,1.068
150,3.1,0.9,12.48,8.20,20,1.523,1.068
50,2.5,0,1.78,0.75,25,1.263,1.016
50,3.1,0,1.99,0.78,25,1.284,1.016
50,4.1,0,2.30,0.81,25,1.313,1.015
50,5.1,0,2.57,0.83,25,1.337,1.015
50,3.1,0.1,2.89,0.85,25,1.364,1.015
50,4.1,0.1,3.09,0.87,25,1.380,1.015
50,3.1,0.2,3.49,0.89,25,1.411,1.015
50,4.1,0.2,3.62,0.90,25,1.421,1.016
50,2.5,0.3,3.85,0.91,25,1.438,1.016
50,3.1,0.3,3.91,0.92,25,1.443,1.016
50,3.1,0.6,4.70,0.96,25,1.496,1.017
50,2.5,0.9,5.13,0.97,25,1.523,1.019
50,3.1,0.9,5.15,0.97,25,1.524,1.019
60,2.5,0,2.11,0.72,25,1.307,1.017
60,3.1,0,2.37,0.74,25,1.331,1.017
60,4.1,0,2.76,0.77,25,1.363,1.017
60,5.1,0,3.09,0.80,25,1.389,1.017
60,3.1,0.1,3.51,0.82,25,1.421,1.017
60,4.1,0.1,3.76,0.84,25,1.438,1.018
60,3.1,0.2,4.28,0.87,25,1.473,1.019
60,4.1,0.2,4.45,0.88,25,1.484,1.019
60,2.5,0.3,4.76,0.89,25,1.502,1.020
60,3.1,0.3,4.84,0.90,25,1.507,1.020
60,3.1,0.6,5.90,0.94,25,1.564,1.023
60,2.5,0.9,6.49,0.96,25,1.591,1.025
60,3.1,0.9,6.51,0.96,25,1.592,1.025
70,2.5,0,2.43,0.69,25,1.343,1.018
70,3.1,0,2.73,0.72,25,1.367,1.019
70,4.1,0,3.18,0.75,25,1.401,1.019
70,5.1,0,3.57,0.77,25,1.428,1.020
70,3.1,0.1,4.08,0.80,25,1.461,1.021
70,4.1,0.1,4.36,0.82,25,1.478,1.021
70,3.1,0.2,4.99,0.85,25,1.513,1.023
70,4.1,0.2,5.20,0.86,25,1.524,1.023
70,2.5,0.3,5.56,0.88,25,1.542,1.025
70,3.1,0.3,5.66,0.88,25,1.547,1.025
70,3.1,0.6,6.94,0.93,25,1.600,1.030
70,2.5,0.9,7.65,0.95,25,1.623,1.033
70,3.1,0.9,7.68,0.96,25,1.624,1.033
80,2.5,0,2.77,0.67,25,1.374,1.020
80,3.1,0,3.12,0.69,25,1.399,1.021
80,4.1,0,3.63,0.73,25,1.433,1.022
80,5.1,0,4.08,0.75,25,1.459,1.023
80,3.1,0.1,4.66,0.78,25,1.492,1.024
80,4.1,0.1,4.99,0.80,25,1.508,1.025
80,3.1,0.2,5.71,0.84,25,1.541,1.027
80,4.1,0.2,5.94,0.85,25,1.551,1.028
80,2.5,0.3,6.36,0.87,25,1.568,1.030
80,3.1,0.3,6.47,0.87,25,1.572,1.030
80,3.1,0.6,7.88,0.93,25,1.617,1.036
80,2.5,0.9,8.66,0.95,25,1.634,1.040
80,3.1,0.9,8.69,0.95,25,1.635,1.040
90,2.5,0,3.14,0.65,25,1.400,1.023
90,3.1,0,3.53,0.68,25,1.425,1.024
90,4.1,0,4.10,0.71,25,1.458,1.025
90,5.1,0,4.59,0.74,25,1.483,1.026
90,3.1,0.1,5.24,0.78,25,1.514,1.028
90,4.1,0.1,5.60,0.80,25,1.529,1.029
90,3.1,0.2,6.38,0.83,25,1.559,1.032
90,4.1,0.2,6.62,0.85,25,1.568,1.033
90,2.5,0.3,7.07,0.87,25,1.582,1.034
90,3.1,0.3,7.18,0.87,25,1.586,1.035
90,3.1,0.6,8.66,0.93,25,1.621,1.041
90,2.5,0.9,9.45,0.95,25,1.633,1.045
90,3.1,0.9,9.48,0.95,25,1.633,1.046
100,2.5,0,3.52,0.64,25,1.422,1.025
100,3.1,0,3.95,0.67,25,1.446,1.026
100,4.1,0,4.57,0.70,25,1.476,1.028
100,5.1,0,5.09,0.74,25,1.500,1.029
100,3.1,0.1,5.79,0.77,25,1.528,1.032
