kvp_kv,filtration_inherent_mmal,filtration_added_mmcu,filtration_added_mmal,anode_angle_deg,hvl_mmal
26,2.6000000000000005,0.2,0,8,1.1605716673125253
26,2.6000000000000005,0.3,0,8,1.2387001368770938
26,2.6000000000000005,0.6,0,8,1.3610013046436986
26,2.6000000000000005,0.9,0,8,1.4177111546366212
26,2.7000000000000006,0.0,0,8,0.8017803689025824
26,2.7000000000000006,0.1,0,8,1.0396388013123457
26,2.7000000000000006,0.2,0,8,1.1634957171496993
26,2.7000000000000006,0.3,0,8,1.2406159909552885
26,2.7000000000000006,0.6,0,8,1.3617814717627652
26,2.7000000000000006,0.9,0,8,1.4181137506520216
26,2.8000000000000007,0.0,0,8,0.8128923729935051
26,2.8000000000000007,0.1,0,8,1.0446274512393259
26,2.8000000000000007,0.2,0,8,1.1663766477665403
26,2.8000000000000007,0.3,0,8,1.2425097235162637
26,2.8000000000000007,0.6,0,8,1.3625558481249571
26,2.8000000000000007,0.9,0,8,1.418513914555617
26,2.900000000000001,0.0,0,8,0.8236309928735065
26,2.900000000000001,0.1,0,8,1.049514604120409
26,2.900000000000001,0.2,0,8,1.169215491839823
26,2.900000000000001,0.3,0,8,1.244381739333681
26,2.900000000000001,0.6,0,8,1.3633244943448752
26,2.900000000000001,0.9,0,8,1.418911664413979
26,3.000000000000001,0.0,0,8,0.8340179647686814
26,3.000000000000001,0.1,0,8,1.0543036739988432
26,3.000000000000001,0.2,0,8,1.1720132468388709
26,3.000000000000001,0.3,0,8,1.2462324326070382
26,3.000000000000001,0.6,0,8,1.364087470129421
26,3.000000000000001,0.9,0,8,1.4193070181111729
26,3.100000000000001,0.0,0,8,0.8440730753669274
26,3.100000000000001,0.1,0,8,1.0589979056737548
26,3.100000000000001,0.2,0,8,1.174770876589848
26,3.100000000000001,0.3,0,8,1.2480621873207258
26,3.100000000000001,0.6,0,8,1.3648448342957626
26,3.100000000000001,0.9,0,8,1.419699993351254
26,3.200000000000001,0.0,0,8,0.8538144161924105
26,3.200000000000001,0.1,0,8,1.0636004162148882
26,3.200000000000001,0.2,0,8,1.1774893127536996
26,3.200000000000001,0.3,0,8,1.2498713775880526
26,3.200000000000001,0.6,0,8,1.365596644788813
26,3.200000000000001,0.9,0,8,1.420090607660712
26,3.300000000000001,0.0,0,8,0.8632585933671
26,3.300000000000001,0.1,0,8,1.0681141297416386
26,3.300000000000001,0.2,0,8,1.180169456223573
26,3.300000000000001,0.3,0,8,1.251660367980956
26,3.300000000000001,0.6,0,8,1.3663429586983566
26,3.300000000000001,0.9,0,8,1.4204788783908644
26,3.4000000000000012,0.0,0,8,0.8724209022249927
26,3.4000000000000012,0.1,0,8,1.0725418789216483
26,3.4000000000000012,0.2,0,8,1.182812178447007
26,3.4000000000000012,0.3,0,8,1.2534295138461593
